Depthm,T_degC,Salnty,O2ml_L,ChlorA,Phaeop,PO4uM,SiO3uM,NO2uM,NO3uM,NH3uM
30,14.22,33.077,5.9,0.34,0.1,0.32,2.1,0.0,0.1,0.0
32,14.23,33.084,5.9,0.34,0.1,0.32,2.1,0.0,0.1,0.0
38,14.29,33.099,5.88,0.33,0.11,0.32,2.1,0.0,0.0,0.0
47,14.24,33.091,5.89,0.35,0.13,0.32,2.0,0.0,0.0,0.0
50,14.25,33.086,5.89,0.36,0.1,0.31,2.0,0.0,0.0,0.0
53,14.2,33.08,5.9,0.37,0.08,0.31,2.0,0.0,0.0,0.0
62,14.26,33.089,5.83,0.32,0.11,0.32,1.9,0.0,0.0,0.0
75,14.01,33.05,5.91,0.33,0.1,0.34,2.0,0.02,0.1,0.06
77,13.92,33.037,5.92,0.33,0.1,0.35,2.0,0.02,0.1,0.07
91,13.54,33.115,5.8,0.17,0.11,0.41,2.2,0.14,0.9,0.0
100,13.55,33.31,5.76,0.13,0.1,0.45,2.4,0.06,1.5,0.0
106,12.68,33.118,5.73,0.11,0.1,0.48,2.7,0.0,2.0,0.0
122,11.4,33.089,5.58,0.05,0.05,0.65,4.1,0.0,4.8,0.04
125,10.96,33.04,5.52,0.04,0.05,0.7,4.8,0.0,5.8,0.04
142,10.1,33.245,5.07,0.01,0.03,1.03,9.7,0.0,11.6,0.04
150,9.84,33.319,4.78,0.01,0.03,1.14,11.6,0.0,13.7,0.03
171,10.1,33.672,4.09,0.01,0.02,1.38,16.3,0.01,18.1,0.01
197,9.3,33.845,3.79,0.01,0.03,1.59,22.0,0.0,21.8,0.01
0,14.73,33.204,5.82,0.26,0.09,0.33,2.3,0.0,0.0,0.0
2,14.73,33.204,5.82,0.26,0.09,0.33,2.3,0.0,0.0,0.0
10,14.74,33.203,5.83,0.27,0.08,0.32,2.3,0.0,0.0,0.0
16,14.73,33.204,5.83,0.28,0.07,0.32,2.2,0.0,0.0,0.0
20,14.73,33.201,5.83,0.28,0.07,0.32,2.2,0.0,0.0,0.0
30,14.73,33.199,5.83,0.28,0.09,0.32,2.1,0.0,0.0,0.0
45,14.69,33.191,5.83,0.28,0.09,0.32,2.2,0.0,0.0,0.01
50,14.71,33.192,5.84,0.28,0.09,0.32,2.1,0.0,0.0,0.0
55,14.67,33.184,5.84,0.28,0.09,0.32,2.1,0.0,0.0,0.0
65,13.91,33.059,5.91,0.27,0.11,0.39,2.4,0.04,0.4,0.11
75,12.53,32.901,5.87,0.14,0.09,0.55,3.4,0.16,2.1,0.05
85,12.03,32.887,5.81,0.06,0.14,0.63,4.0,0.08,3.5,0.05
94,12.23,33.136,5.6,0.09,0.1,0.59,3.6,0.04,3.3,0.05
100,11.9,33.104,5.57,0.07,0.09,0.66,4.2,0.04,4.4,0.05
110,10.74,32.965,5.55,0.03,0.07,0.82,5.8,0.05,6.8,0.05
125,10.49,33.068,5.29,0.03,0.05,0.96,7.9,0.05,9.6,0.06
145,9.94,33.355,4.6,0.01,0.03,1.3,13.9,0.06,15.9,0.04
150,9.87,33.397,4.39,0.01,0.03,1.41,15.8,0.06,17.7,0.04
168,9.33,33.649,3.71,0.01,0.03,1.75,22.4,0.05,23.2,0.03
198,8.89,33.812,3.14,0.0,0.04,1.95,27.6,0.0,26.4,0.03
0,12.72,33.505,5.58,1.78,0.63,0.7,6.8,0.28,5.9,0.11
2,12.72,33.505,5.58,1.78,0.63,0.7,6.8,0.28,5.9,0.11
5,12.71,33.505,5.59,2.02,0.45,0.7,6.8,0.28,5.9,0.1
10,12.68,33.512,5.5,1.74,0.53,0.72,7.0,0.3,6.5,0.1
20,12.66,33.513,5.47,1.64,0.51,0.74,7.2,0.3,6.6,0.11
30,12.58,33.532,5.52,1.68,0.57,0.76,7.8,0.25,7.1,0.14
40,12.36,33.547,5.23,1.05,0.45,0.89,9.1,0.28,8.9,0.11
50,12.18,33.564,4.97,0.72,0.38,1.0,10.3,0.27,10.7,0.09
59,12.04,33.586,4.84,0.8,0.33,1.08,11.3,0.25,11.7,0.09
