Depthm,T_degC,Salnty,O2ml_L,ChlorA,Phaeop,PO4uM,SiO3uM,NO2uM,NO3uM,NH3uM
57,11.86,33.502,4.63,0.22,0.21,1.19,11.8,0.07,13.8,0.0
66,11.5,33.552,4.24,0.14,0.2,1.35,14.0,0.03,15.7,0.0
75,11.32,33.572,3.96,0.1,0.2,1.47,16.1,0.03,17.1,0.11
84,11.07,33.624,3.66,0.15,0.2,1.56,17.6,0.01,18.2,0.01
100,10.66,33.741,3.35,0.02,0.06,1.64,19.4,0.02,19.7,0.0
119,10.41,33.836,2.84,0.01,0.05,1.84,23.1,0.01,22.3,0.0
125,10.3,33.858,2.68,0.01,0.05,1.9,24.3,0.01,22.9,0.0
140,10.27,33.942,2.37,0.01,0.05,2.01,26.8,0.0,24.1,0.0
150,9.83,33.932,2.37,0.01,0.05,2.02,27.5,0.0,24.4,0.0
169,9.77,33.997,2.37,0.0,0.04,2.04,28.6,0.0,24.9,0.0
200,9.96,34.171,1.56,0.0,0.04,2.3,33.2,0.0,26.8,0.0
201,9.96,34.172,1.53,0.0,0.04,2.31,33.3,0.0,26.9,0.0
0,21.31,33.548,5.55,0.52,0.05,0.17,2.8,0.0,0.0,0.22
3,21.31,33.548,5.55,0.52,0.05,0.17,2.8,0.0,0.0,0.22
9,20.26,33.509,5.9,0.73,0.08,0.18,2.8,0.0,0.0,0.2
10,19.43,33.492,6.0,0.73,0.09,0.18,2.8,0.0,0.0,0.2
20,16.04,33.376,6.73,0.75,0.15,0.29,3.1,0.0,0.0,0.25
29,14.16,33.342,6.42,2.04,0.53,0.48,4.2,0.07,1.5,0.31
30,13.74,33.352,6.37,2.03,0.56,0.5,4.3,0.08,1.8,0.31
39,13.22,33.357,5.88,1.47,0.69,0.67,5.5,0.2,4.4,0.28
50,12.56,33.365,5.42,0.83,0.5,0.87,7.4,0.24,7.8,0.24
60,11.74,33.517,4.57,0.28,0.26,1.2,11.9,0.04,13.6,0.13
69,11.37,33.569,4.25,0.14,0.18,1.35,14.1,0.02,15.8,0.13
75,11.18,33.609,4.08,0.1,0.15,1.41,15.0,0.02,16.7,0.09
85,10.99,33.635,3.81,0.07,0.11,1.49,16.4,0.01,17.9,0.02
100,10.43,33.736,3.32,0.03,0.07,1.69,20.2,0.02,20.7,0.08
101,10.44,33.732,3.29,0.03,0.07,1.7,20.5,0.02,20.9,0.09
119,10.22,33.797,3.01,0.02,0.07,1.8,22.8,0.01,22.5,0.11
125,10.13,33.822,2.98,0.02,0.07,1.81,23.3,0.01,22.7,0.13
140,10.05,33.855,2.9,0.01,0.06,1.85,24.6,0.01,23.1,0.17
150,9.84,33.946,2.75,0.01,0.06,1.91,25.9,0.01,23.7,0.16
169,9.77,33.996,2.37,0.01,0.06,2.05,28.7,0.01,25.2,0.15
200,9.6,34.151,1.74,0.0,0.05,2.28,33.6,0.01,27.4,0.0
0,20.53,33.506,5.72,0.34,0.04,0.22,2.7,0.0,0.0,0.14
2,20.53,33.506,5.72,0.34,0.04,0.22,2.7,0.0,0.0,0.14
9,19.68,33.492,5.95,0.41,0.05,0.23,2.6,0.0,0.0,0.04
19,12.99,33.339,5.96,0.94,0.44,0.65,5.4,0.17,4.2,0.1
20,12.87,33.34,5.9,0.91,0.43,0.69,5.7,0.17,4.8,0.09
29,12.34,33.396,5.26,0.44,0.38,0.98,8.7,0.13,9.9,0.02
30,12.33,33.397,5.21,0.41,0.37,1.0,9.0,0.12,10.3,0.03
39,11.92,33.462,4.87,0.25,0.26,1.15,10.8,0.02,12.5,0.12
49,11.76,33.493,4.77,0.17,0.22,1.21,11.7,0.02,13.5,0.1
50,11.75,33.495,4.74,0.16,0.21,1.22,11.9,0.02,13.7,0.09
59,11.33,33.558,4.38,0.1,0.15,1.35,14.1,0.02,15.6,0.04
69,10.77,33.65,3.84,0.04,0.08,1.55,17.4,0.01,18.5,0.03
75,10.6,33.722,3.58,0.03,0.07,1.63,18.9,0.01,19.6,0.02
84,10.52,33.74,3.3,0.02,0.06,1.71,20.5,0.01,20.6,0.0
99,10.3,33.77,3.21,0.02,0.06,1.77,21.8,0.0,21.5,0.0
100,10.27,33.785,3.18,0.02,0.06,1.78,22.0,0.0,21.6,0.0
119,10.18,33.912,2.55,0.01,0.04,1.99,26.1,0.0,23.6,0.0
125,10.11,33.948,2.55,0.01,0.04,2.0,26.6,0.0,23.9,0.0
137,9.86,33.936,2.55,0.01,0.04,2.01,27.3,0.0,24.4,0.0
150,9.84,34.02,2.44,0.01,0.04,2.07,28.8,0.0,25.0,0.0
168,9.52,34.078,2.21,0.0,0.03,2.17,31.5,0.0,26.1,0.01
200,9.02,34.145,1.73,0.0,0.04,2.37,37.4,0.0,28.9,0.0
0,18.29,33.494,5.85,0.46,0.09,0.29,1.8,0.0,0.0,0.48
1,18.29,33.494,5.85,0.46,0.09,0.29,1.8,0.0,0.0,0.48
5,18.3,33.499,5.84,0.46,0.06,0.28,1.8,0.0,0.0,0.43
10,18.3,33.49,5.84,0.45,0.08,0.26,1.8,0.0,0.0,0.55
11,18.26,33.495,5.84,0.45,0.08,0.26,1.8,0.0,0.0,0.58
20,16.15,33.486,5.98,1.78,0.28,0.38,2.0,0.06,1.0,0.63
21,16.56,33.477,5.99,1.91,0.3,0.39,2.0,0.07,1.1,0.63
30,13.34,33.409,5.58,1.17,0.23,0.8,6.2,0.25,6.6,0.76
31,13.3,33.409,5.52,1.03,0.22,0.85,6.7,0.26,7.3,0.77
41,12.13,33.375,5.3,0.27,0.3,1.02,9.1,0.14,10.2,0.43
50,11.64,33.492,4.93,0.13,0.16,1.22,12.0,0.09,13.2,0.1
51,11.62,33.497,4.88,0.11,0.14,1.24,12.4,0.09,13.6,0.07
59,11.12,33.588,4.38,0.09,0.1,1.44,16.2,0.06,16.5,0.0
69,11.08,33.597,4.32,0.07,0.12,1.46,16.6,0.05,16.8,0.0
0,16.69,33.551,5.75,0.63,0.2,0.35,1.0,0.04,0.8,0.03
1,16.69,33.551,5.75,0.63,0.2,0.35,1.0,0.04,0.8,0.03
11,16.69,33.543,5.76,0.65,0.16,0.35,1.0,0.04,0.8,0.0
20,16.45,33.531,5.81,0.84,0.22,0.36,1.0,0.05,0.9,0.0
30,16.27,33.511,5.89,1.33,0.4,0.37,1.0,0.05,0.9,0.07
40,16.14,33.505,5.92,1.56,0.25,0.37,1.1,0.05,0.9,0.15
50,14.56,33.576,6.03,2.29,0.57,0.6,1.9,0.14,3.6,0.01
51,14.36,33.577,6.04,2.33,0.61,0.63,2.1,0.15,4.0,0.0
60,13.71,33.553,5.67,1.5,0.61,0.82,4.8,0.28,6.7,0.06
65,13.14,33.557,5.37,0.95,0.42,0.99,7.3,0.36,9.1,0.19
69,12.69,33.557,5.15,0.54,0.41,1.09,9.2,0.36,11.1,0.21
75,11.43,33.631,4.8,0.35,0.29,1.25,12.1,0.23,13.9,0.17
84,11.16,33.632,4.3,0.06,0.09,1.46,16.1,0.01,17.3,0.06
100,10.36,33.741,3.64,0.02,0.08,1.69,20.9,0.01,20.8,0.0
101,10.36,33.741,3.61,0.02,0.08,1.7,21.1,0.01,21.0,0.0
119,9.7,33.843,3.05,0.02,0.06,1.86,25.5,0.0,23.6,0.0
125,9.51,33.876,2.98,0.02,0.06,1.88,26.2,0.0,24.0,0.0
139,9.36,33.904,2.88,0.01,0.05,1.92,27.5,0.0,24.5,0.0
150,9.28,33.918,2.74,0.01,0.04,1.97,28.9,0.0,25.2,0.01
169,9.06,34.008,2.47,0.01,0.04,2.06,31.5,0.0,26.4,0.03
196,8.85,34.071,2.11,0.0,0.05,2.22,35.3,0.0,28.1,0.2
0,17.84,33.505,5.59,0.33,0.06,0.29,1.7,0.0,0.0,0.45
2,17.84,33.505,5.59,0.33,0.06,0.29,1.7,0.0,0.0,0.45
8,17.82,33.503,5.57,0.31,0.07,0.3,1.7,0.0,0.0,0.35
10,17.8,33.497,5.57,0.31,0.07,0.3,1.7,0.0,0.0,0.33
17,17.74,33.498,5.6,0.33,0.08,0.3,1.7,0.0,0.0,0.27
20,17.71,33.491,5.6,0.34,0.08,0.3,1.7,0.0,0.0,0.24
26,17.68,33.494,5.6,0.36,0.07,0.29,1.7,0.0,0.0,0.19
30,17.56,33.487,5.63,0.45,0.04,0.29,1.5,0.0,0.0,0.17
35,17.33,33.506,5.67,0.57,0.0,0.3,1.3,0.0,0.0,0.15
42,14.75,33.456,6.02,1.54,0.52,0.57,3.4,0.16,3.2,0.44
49,12.5,33.381,5.45,0.48,0.29,0.98,8.5,0.41,9.4,0.49
50,12.29,33.393,5.4,0.46,0.27,1.01,8.9,0.39,9.9,0.48
60,11.78,33.454,5.07,0.21,0.17,1.18,11.4,0.06,13.2,0.29
70,11.01,33.534,4.67,0.08,0.08,1.38,14.9,0.02,16.4,0.26
75,10.61,33.608,4.43,0.06,0.07,1.47,16.7,0.02,17.9,0.25
85,10.4,33.666,3.99,0.03,0.06,1.62,19.8,0.01,20.2,0.24
100,10.14,33.754,3.63,0.03,0.07,1.73,21.9,0.0,21.6,0.01
101,10.19,33.738,3.61,0.03,0.07,1.74,22.0,0.0,21.7,0.0
119,9.33,33.872,2.94,0.01,0.05,1.94,27.6,0.0,25.0,0.0
125,9.31,33.888,2.83,0.01,0.05,1.96,28.6,0.0,25.5,0.0
139,9.11,33.961,2.68,0.01,0.04,1.99,30.2,0.0,26.0,0.02
150,9.02,33.977,2.63,0.01,0.04,2.01,31.0,0.0,26.3,0.05
168,8.85,34.002,2.58,0.01,0.04,2.05,32.4,0.0,26.7,0.11
200,8.49,34.054,2.23,0.0,0.05,2.19,37.1,0.0,28.7,0.11
0,16.7,32.992,5.71,0.16,0.03,0.39,2.5,0.0,0.1,0.09
2,16.7,32.992,5.71,0.16,0.03,0.39,2.5,0.0,0.1,0.09
9,16.7,32.994,5.72,0.17,0.02,0.39,2.5,0.0,0.1,0.26
10,16.69,32.992,5.72,0.17,0.02,0.39,2.5,0.0,0.1,0.26
19,16.58,33.013,5.74,0.18,0.04,0.38,2.6,0.0,0.0,0.25
20,16.15,33.026,5.77,0.2,0.05,0.38,2.6,0.0,0.0,0.24
29,15.83,33.114,6.01,0.41,0.18,0.37,2.7,0.0,0.0,0.18
30,15.81,33.163,6.02,0.44,0.2,0.37,2.7,0.0,0.0,0.19
34,15.43,33.121,6.07,0.52,0.25,0.38,2.6,0.02,0.1,0.24
40,13.78,32.921,6.15,0.48,0.28,0.5,3.6,0.15,1.0,0.26
49,12.85,32.914,6.01,0.41,0.37,0.59,4.4,0.55,2.1,0.51
59,12.3,32.945,5.83,0.34,0.38,0.63,4.7,0.43,3.2,0.32
69,11.42,32.931,5.68,0.26,0.17,0.8,6.8,0.04,6.7,0.14
75,11.14,33.034,5.58,0.19,0.15,0.87,7.6,0.03,8.2,0.14
84,11.49,33.253,5.37,0.1,0.12,1.0,9.3,0.01,10.5,0.14
99,10.66,33.483,4.77,0.03,0.04,1.37,15.4,0.0,16.4,0.05
100,10.59,33.516,4.74,0.03,0.04,1.38,15.6,0.0,16.6,0.05
119,10.37,33.612,4.25,0.01,0.04,1.55,18.6,0.0,19.5,0.0
125,10.24,33.678,4.07,0.01,0.04,1.63,20.1,0.0,20.7,0.0
138,9.89,33.793,3.67,0.01,0.04,1.8,23.6,0.0,23.1,0.0
150,9.5,33.841,3.31,0.01,0.04,1.88,26.1,0.0,24.5,0.0
168,9.1,33.913,2.82,0.01,0.03,1.96,29.4,0.0,26.0,0.0
200,8.66,34.02,2.23,0.0,0.03,2.13,34.8,0.0,28.5,0.1
201,8.68,34.015,2.22,0.0,0.03,2.14,35.0,0.0,28.6,0.1
0,17.16,33.161,5.68,0.16,0.02,0.33,2.5,0.0,0.0,0.0
2,17.16,33.161,5.68,0.16,0.02,0.33,2.5,0.0,0.0,0.0
10,17.16,33.161,5.68,0.15,0.02,0.34,2.5,0.0,0.0,0.15
20,17.09,33.167,5.71,0.16,0.03,0.33,2.4,0.0,0.0,0.1
30,15.39,33.25,6.2,0.5,0.15,0.31,0.6,0.0,0.0,0.01
31,15.43,33.23,6.24,0.54,0.17,0.31,0.5,0.0,0.0,0.0
42,13.37,33.18,5.84,1.02,0.58,0.66,4.6,0.3,3.4,0.79
50,13.04,33.188,5.76,0.55,0.35,0.72,5.4,0.38,4.4,0.58
60,12.03,33.283,5.44,0.17,0.16,1.0,8.9,0.02,10.0,0.0
70,11.87,33.296,5.43,0.13,0.13,1.04,9.4,0.01,10.7,0.01
75,11.76,33.352,5.36,0.1,0.11,1.09,9.9,0.01,11.5,0.03
85,11.37,33.429,5.11,0.05,0.06,1.22,11.6,0.01,13.8,0.07
100,10.63,33.575,4.51,0.02,0.04,1.49,16.4,0.0,18.1,0.08
119,10.23,33.619,4.16,0.01,0.04,1.61,18.8,0.0,19.8,0.01
125,9.93,33.69,3.93,0.01,0.04,1.68,20.4,0.0,20.9,0.01
141,9.5,33.811,3.27,0.01,0.04,1.88,25.3,0.0,24.1,0.0
150,9.23,33.906,3.01,0.01,0.04,1.95,27.6,0.0,25.3,0.0
171,8.81,33.968,2.55,0.0,0.03,2.09,32.3,0.0,27.4,0.0
200,8.5,34.038,2.08,0.01,0.03,2.26,37.3,0.0,29.6,0.0
202,8.48,34.042,2.05,0.01,0.03,2.27,37.6,0.0,29.7,0.0
0,17.39,33.322,5.64,0.17,0.03,0.31,1.1,0.0,0.0,0.29
2,17.39,33.322,5.64,0.17,0.03,0.31,1.1,0.0,0.0,0.29
10,17.39,33.324,5.64,0.16,0.03,0.31,1.2,0.0,0.0,0.2
20,17.35,33.362,5.68,0.16,0.03,0.29,0.8,0.0,0.0,0.3
30,15.65,33.087,6.02,0.19,0.03,0.44,1.9,0.04,0.7,0.45
40,13.44,32.943,6.17,0.33,0.15,0.59,3.7,0.32,2.1,0.78
50,12.36,32.859,6.01,0.39,0.27,0.67,4.7,0.72,3.0,0.28
59,11.57,32.877,5.79,0.4,0.25,0.75,5.5,0.06,5.2,0.06
70,11.04,32.923,5.68,0.26,0.12,0.94,8.3,0.02,8.4,0.0
75,10.7,32.987,5.53,0.18,0.09,1.02,9.7,0.02,9.9,0.01
86,10.36,33.15,5.14,0.05,0.05,1.16,12.0,0.01,12.5,0.06
99,10.23,33.373,4.77,0.03,0.03,1.19,12.3,0.0,13.5,0.07
100,10.2,33.398,4.74,0.03,0.03,1.2,12.5,0.0,13.7,0.07
125,9.51,33.724,3.93,0.01,0.02,1.57,19.7,0.0,19.8,0.08
141,9.26,33.793,3.45,0.0,0.02,1.85,25.4,0.0,24.0,0.09
150,9.2,33.842,3.23,0.0,0.02,1.93,27.2,0.0,25.1,0.06
168,8.91,33.917,2.9,0.0,0.02,2.04,30.3,0.0,26.5,0.0
200,8.28,33.99,2.76,0.0,0.01,2.07,34.8,0.0,27.6,0.0
201,8.27,33.992,2.76,0.0,0.01,2.07,34.9,0.0,27.6,0.0
0,17.1,33.034,5.77,0.23,0.02,0.39,2.0,0.01,0.1,0.24
2,17.1,33.034,5.77,0.23,0.02,0.39,2.0,0.01,0.1,0.24
10,17.1,33.032,5.79,0.23,0.03,0.39,2.1,0.01,0.1,0.0
16,16.61,33.029,5.89,0.24,0.04,0.39,2.1,0.01,0.1,0.21
20,15.55,32.983,5.97,0.21,0.05,0.44,2.4,0.04,0.6,0.29
24,15.27,32.962,6.04,0.17,0.05,0.49,2.7,0.07,1.1,0.35
30,15.16,32.968,6.04,0.18,0.05,0.51,2.8,0.08,1.3,0.39
35,15.12,32.971,6.04,0.19,0.05,0.51,2.9,0.09,1.4,0.42
46,14.05,32.991,6.15,0.27,0.09,0.59,3.6,0.21,2.4,0.2
50,13.74,32.997,6.14,0.27,0.1,0.62,3.9,0.26,2.8,0.35
55,13.59,33.008,6.13,0.27,0.12,0.65,4.3,0.31,3.3,0.58
63,13.52,33.04,6.02,0.24,0.14,0.69,4.7,0.36,3.7,0.77
74,13.36,33.066,5.93,0.26,0.16,0.74,5.0,0.45,4.2,0.84
75,13.14,33.051,5.92,0.27,0.16,0.75,5.1,0.48,4.3,0.78
85,12.26,32.977,5.82,0.31,0.16,0.81,6.4,0.72,5.8,0.14
100,11.45,33.009,5.7,0.11,0.09,0.97,9.4,0.15,9.2,0.06
103,11.26,33.038,5.67,0.06,0.07,1.01,10.0,0.01,9.9,0.04
119,10.62,33.113,5.34,0.03,0.05,1.14,12.0,0.01,12.0,0.1
125,10.51,33.135,5.13,0.02,0.05,1.2,13.0,0.01,13.1,0.07
138,10.05,33.408,4.59,0.01,0.04,1.34,15.5,0.01,15.9,0.0
150,10.05,33.615,3.98,0.0,0.03,1.53,19.0,0.01,19.0,0.09
170,9.45,33.822,3.12,0.0,0.02,1.83,25.0,0.0,23.6,0.25
200,8.86,33.956,2.96,0.0,0.01,1.93,30.0,0.0,25.4,0.03
204,8.75,33.966,2.94,0.0,0.01,1.94,30.5,0.0,25.6,0.0
0,18.16,32.955,5.54,0.07,0.01,0.36,2.3,0.0,0.0,0.13
2,18.16,32.955,5.54,0.07,0.01,0.36,2.3,0.0,0.0,0.13
10,18.15,32.955,5.55,0.08,0.01,0.35,2.3,0.0,0.0,0.04
20,18.1,33.209,5.55,0.09,0.02,0.33,2.4,0.0,0.0,0.07
23,18.02,33.206,5.55,0.09,0.02,0.32,2.4,0.0,0.0,0.09
30,17.78,33.238,5.72,0.11,0.02,0.32,2.4,0.0,0.0,0.04
39,16.21,33.144,5.96,0.14,0.03,0.32,2.5,0.0,0.0,0.0
50,15.4,33.114,6.1,0.15,0.05,0.34,2.8,0.0,0.0,0.15
61,13.62,32.972,6.21,0.24,0.14,0.37,2.6,0.0,0.0,0.0
74,13.36,33.061,5.98,0.39,0.41,0.47,3.6,0.22,1.0,0.0
75,13.21,33.087,5.96,0.39,0.41,0.49,3.7,0.24,1.2,0.0
86,12.51,33.047,5.77,0.28,0.37,0.66,5.3,0.33,4.1,0.04
100,11.97,33.086,5.64,0.16,0.25,0.77,6.5,0.03,6.2,0.06
101,12.01,33.081,5.63,0.15,0.24,0.78,6.6,0.01,6.3,0.06
111,11.74,33.136,5.6,0.12,0.1,0.9,8.1,0.0,8.2,0.0
124,11.32,33.189,5.46,0.06,0.06,0.98,9.4,0.0,9.8,0.03
125,11.24,33.184,5.45,0.06,0.06,0.99,9.5,0.0,9.9,0.03
139,10.74,33.335,5.12,0.01,0.02,1.12,11.7,0.0,12.4,0.0
150,10.36,33.514,4.54,0.01,0.02,1.35,15.3,0.0,16.0,0.01
164,9.87,33.669,3.82,0.0,0.02,1.63,20.1,0.0,20.4,0.03
199,9.22,33.928,3.67,0.0,0.01,1.66,24.4,0.0,21.7,0.0
0,20.13,33.464,6.09,0.94,0.11,0.25,4.5,0.01,0.0,0.13
1,20.13,33.464,6.09,0.94,0.11,0.25,4.5,0.01,0.0,0.13
5,19.18,33.432,6.43,0.89,0.18,0.27,4.5,0.01,0.0,0.06
10,14.45,33.362,6.68,0.86,0.28,0.42,5.0,0.01,0.1,0.02
15,13.43,33.344,6.3,1.41,0.43,0.58,6.0,0.16,2.6,0.65
20,12.9,33.323,5.92,1.34,0.52,0.73,7.0,0.3,5.2,1.83
22,12.92,33.328,5.77,1.31,0.56,0.79,7.4,0.35,6.2,2.3
0,19.83,33.439,6.05,1.27,0.15,0.24,4.7,0.0,0.0,0.12
1,19.83,33.439,6.05,1.27,0.15,0.24,4.7,0.0,0.0,0.12
4,18.58,33.438,6.25,0.81,0.12,0.24,4.3,0.01,0.0,0.08
8,18.37,33.425,6.35,0.92,0.17,0.24,4.1,0.01,0.0,0.04
10,17.46,33.391,6.47,0.88,0.2,0.25,3.6,0.0,0.0,0.02
12,16.79,33.359,6.59,0.86,0.24,0.28,3.2,0.0,0.0,0.0
15,15.52,33.327,6.67,0.99,0.29,0.35,3.8,0.03,0.4,0.01
20,13.55,33.305,6.25,1.06,0.46,0.56,5.1,0.19,2.8,0.99
22,13.29,33.308,6.0,1.09,0.52,0.66,5.7,0.26,4.0,1.43
30,12.44,33.34,5.31,0.72,0.46,0.94,8.4,0.39,8.5,1.39
31,12.42,33.361,5.23,0.66,0.45,0.97,8.7,0.41,9.0,1.38
39,12.14,33.489,4.68,0.3,0.32,1.12,10.3,0.08,12.1,0.01
49,11.78,33.503,4.62,0.21,0.26,1.18,11.3,0.04,13.1,0.0
50,11.73,33.543,4.56,0.2,0.25,1.2,11.6,0.04,13.4,0.0
60,11.47,33.61,3.89,0.12,0.19,1.42,14.8,0.03,16.5,0.0
72,11.21,33.655,3.58,0.07,0.16,1.55,16.9,0.04,18.1,0.0
0,20.79,33.423,5.61,0.23,0.02,0.25,2.7,0.0,0.0,0.27
1,20.79,33.423,5.61,0.23,0.02,0.25,2.7,0.0,0.0,0.27
10,20.03,33.403,5.7,0.24,0.03,0.25,2.6,0.0,0.0,0.18
11,20.02,33.413,5.71,0.24,0.03,0.25,2.6,0.0,0.0,0.17
20,18.69,33.368,6.02,0.43,0.09,0.27,2.6,0.0,0.0,0.36
21,18.58,33.361,6.07,0.46,0.1,0.27,2.6,0.0,0.0,0.38
30,14.78,33.255,6.59,0.9,0.25,0.31,2.7,0.01,0.1,0.29
31,14.77,33.255,6.63,0.96,0.27,0.32,2.7,0.01,0.1,0.28
40,13.93,33.272,6.42,1.46,0.49,0.42,3.7,0.05,0.7,0.31
50,12.66,33.354,5.44,0.66,0.47,0.86,7.5,0.5,7.7,0.29
60,12.26,33.456,4.85,0.31,0.4,1.03,9.6,0.08,11.2,0.03
70,11.68,33.448,4.98,0.18,0.19,1.12,10.9,0.04,12.4,0.17
75,11.66,33.491,4.87,0.15,0.14,1.16,11.6,0.04,13.1,0.19
85,11.38,33.528,4.55,0.12,0.1,1.26,13.2,0.03,14.6,0.22
100,10.6,33.603,4.22,0.04,0.07,1.45,16.7,0.03,17.7,0.03
120,10.31,33.668,3.89,0.03,0.08,1.54,18.7,0.02,19.2,0.0
125,10.22,33.693,3.79,0.03,0.08,1.57,19.3,0.02,19.6,0.0
140,9.98,33.759,3.5,0.02,0.08,1.67,21.4,0.03,21.1,0.0
150,9.67,33.818,3.29,0.02,0.07,1.75,23.3,0.03,22.2,0.0
169,9.36,33.924,2.95,0.01,0.04,1.88,27.0,0.02,24.2,0.0
200,8.95,34.0,2.79,0.01,0.03,1.96,30.4,0.01,25.5,0.0
201,8.99,34.005,2.79,0.01,0.03,1.96,30.5,0.01,25.5,0.0
0,21.76,33.654,5.57,0.85,0.08,0.09,3.2,0.01,0.0,0.43
2,21.76,33.654,5.57,0.85,0.08,0.09,3.2,0.01,0.0,0.43
10,20.69,33.609,5.93,1.02,0.08,0.11,3.4,0.01,0.0,0.14
20,14.32,33.441,6.85,1.55,0.52,0.39,5.8,0.03,0.3,0.4
30,12.91,33.414,5.65,0.87,0.44,0.78,7.5,0.26,6.2,0.34
40,12.12,33.456,4.96,0.47,0.38,1.05,10.2,0.22,10.9,0.27
49,11.73,33.513,4.63,0.31,0.27,1.18,11.9,0.11,13.2,0.22
50,11.65,33.527,4.6,0.3,0.26,1.19,12.1,0.1,13.5,0.21
60,11.36,33.568,4.32,0.19,0.19,1.31,13.7,0.04,15.5,0.1
70,11.19,33.591,4.17,0.08,0.1,1.36,14.7,0.02,16.3,0.21
75,11.02,33.606,4.11,0.07,0.09,1.39,15.2,0.02,16.7,0.2
85,10.91,33.627,3.93,0.04,0.07,1.45,16.4,0.02,17.7,0.16
100,10.64,33.732,3.43,0.02,0.06,1.6,19.2,0.02,19.8,0.25
101,10.66,33.72,3.39,0.02,0.06,1.61,19.4,0.02,19.9,0.25
119,10.21,33.861,2.86,0.01,0.06,1.82,24.0,0.02,22.4,0.1
125,10.11,33.895,2.73,0.01,0.06,1.87,25.2,0.02,23.1,0.09
139,9.91,33.979,2.46,0.02,0.06,1.98,27.7,0.02,24.3,0.08
150,9.88,34.058,2.26,0.02,0.06,2.05,29.4,0.02,25.1,0.08
169,9.79,34.115,1.97,0.01,0.05,2.15,31.7,0.02,26.0,0.07
0,20.42,33.564,5.59,0.35,0.03,0.2,2.3,0.0,0.0,0.09
1,20.42,33.564,5.59,0.35,0.03,0.2,2.3,0.0,0.0,0.09
10,19.8,33.545,5.69,0.3,0.02,0.22,2.4,0.0,0.0,0.15
20,16.11,33.41,6.72,0.52,0.16,0.3,3.2,0.0,0.0,0.14
30,14.16,33.386,6.67,1.92,0.71,0.41,4.7,0.03,0.5,0.23
39,13.04,33.398,5.88,1.5,0.62,0.71,6.8,0.2,4.9,0.12
49,12.29,33.434,5.21,0.82,0.48,0.97,9.0,0.18,9.5,0.0
50,12.1,33.46,5.14,0.76,0.46,1.0,9.3,0.17,9.9,0.01
59,11.76,33.504,4.66,0.33,0.3,1.19,11.7,0.05,13.2,0.09
69,11.55,33.536,4.49,0.2,0.19,1.27,12.8,0.02,14.4,0.11
75,11.25,33.584,4.21,0.13,0.15,1.37,14.4,0.02,15.9,0.11
84,10.89,33.661,3.69,0.05,0.11,1.54,17.4,0.01,18.5,0.1
100,10.5,33.825,2.82,0.02,0.06,1.83,23.1,0.0,21.9,0.0
119,10.19,33.978,2.27,0.01,0.05,2.06,27.9,0.0,24.2,0.0
125,10.11,34.013,2.14,0.01,0.05,2.11,29.1,0.0,24.8,0.0
138,9.95,34.093,1.9,0.0,0.05,2.2,31.3,0.0,25.8,0.0
150,9.93,34.151,1.69,0.0,0.05,2.27,32.9,0.0,26.5,0.0
169,9.9,34.212,1.39,0.0,0.04,2.37,34.9,0.0,27.3,0.0
200,9.94,34.29,0.94,0.0,0.05,2.54,37.9,0.0,28.2,0.0
0,17.9,33.453,5.87,0.29,0.07,0.27,1.7,0.0,0.0,0.27
2,17.9,33.453,5.87,0.29,0.07,0.27,1.7,0.0,0.0,0.27
10,17.89,33.455,5.87,0.29,0.06,0.28,1.7,0.0,0.0,0.12
20,17.87,33.452,5.89,0.28,0.09,0.28,1.7,0.0,0.0,0.29
30,15.6,33.396,6.76,0.32,0.12,0.26,0.3,0.0,0.0,0.26
40,13.02,33.298,5.75,1.28,0.68,0.79,6.0,0.25,5.9,0.61
50,12.29,33.329,5.37,0.28,0.45,0.96,8.3,0.12,9.2,0.26
60,11.85,33.404,5.06,0.18,0.23,1.09,10.1,0.06,11.7,0.19
71,11.35,33.451,4.94,0.09,0.13,1.22,12.2,0.02,13.8,0.24
75,11.27,33.485,4.87,0.07,0.11,1.25,12.7,0.02,14.3,0.24
86,11.04,33.529,4.55,0.05,0.08,1.34,14.3,0.01,15.9,0.25
100,10.65,33.662,3.84,0.03,0.06,1.54,17.9,0.01,19.0,0.33
101,10.65,33.657,3.79,0.03,0.06,1.56,18.2,0.01,19.2,0.34
121,10.01,33.831,2.99,0.01,0.04,1.85,24.0,0.01,23.1,0.33
125,9.95,33.862,2.91,0.01,0.04,1.88,24.6,0.01,23.5,0.32
140,9.84,33.912,2.69,0.01,0.04,1.95,26.4,0.01,24.3,0.29
150,9.7,33.961,2.57,0.01,0.04,2.01,27.7,0.01,24.9,0.27
168,9.52,34.022,2.36,0.0,0.03,2.11,30.2,0.01,25.9,0.23
200,9.31,34.149,1.88,0.0,0.03,2.28,34.6,0.01,27.7,0.08
201,9.31,34.138,1.87,0.0,0.03,2.28,34.7,0.01,27.8,0.08
0,19.27,33.543,5.46,0.25,0.03,0.27,1.9,0.0,0.0,0.19
1,19.27,33.543,5.46,0.25,0.03,0.27,1.9,0.0,0.0,0.19
10,19.27,33.536,5.47,0.23,0.04,0.27,1.9,0.0,0.0,0.26
11,19.27,33.544,5.47,0.23,0.04,0.27,1.9,0.0,0.0,0.27
20,19.18,33.545,5.5,0.25,0.04,0.27,1.7,0.0,0.0,0.22
22,19.18,33.556,5.51,0.25,0.04,0.27,1.7,0.0,0.0,0.21
